Invoice Number,Type,Product Code,Product Name,Description,Quantity,Unit Price,Subtotal,Total,Taxes
INV/2025/00001,out_invoice,,,"Cuota mensual relativos a los servicios de:
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,15.32,15.32,18.54,"{""en_US"": ""21% S""}"
INV/2025/00001,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00001,out_invoice,,,INV/2025/00001,0.00,0.00,0.00,0.00,
INV/2025/00002,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación al LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,38.96,38.96,47.14,"{""en_US"": ""21% S""}"
INV/2025/00002,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00002,out_invoice,,,INV/2025/00002,0.00,0.00,0.00,0.00,
INV/2025/00003,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD",1.00,15.06,15.06,18.22,"{""en_US"": ""21% S""}"
INV/2025/00003,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00003,out_invoice,,,INV/2025/00003,0.00,0.00,0.00,0.00,
INV/2025/00004,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,40.72,40.72,49.27,"{""en_US"": ""21% S""}"
INV/2025/00004,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00004,out_invoice,,,INV/2025/00004,0.00,0.00,0.00,0.00,
INV/2025/00005,out_invoice,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,102.45,102.45,123.96,"{""en_US"": ""21% S""}"
INV/2025/00005,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00005,out_invoice,,,INV/2025/00005,0.00,0.00,0.00,0.00,
INV/2025/00006,out_invoice,,,"Cuota mensual relativos a los servicios de Delegado de Protección de Datos:
Representació com a Delegat de Protecció de Dades (DPD) extern
frente a la Agencia Española de Protección de Datos (AGPD).
Atender las peticiones de la Agencia Española de Protección de Datos.
Consultas ilimitadas en lo referente a las funciones y obligaciones del DPD.",1.00,40.95,40.95,49.55,"{""en_US"": ""21% S""}"
INV/2025/00006,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00006,out_invoice,,,INV/2025/00006,0.00,0.00,0.00,0.00,
INV/2025/00007,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,38.78,38.78,46.92,"{""en_US"": ""21% S""}"
INV/2025/00007,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00007,out_invoice,,,INV/2025/00007,0.00,0.00,0.00,0.00,
INV/2025/00008,out_invoice,,,"Pago fraccionado mensual correspondiente a los siguientes servicios:
* Adecuación al RGPD-LOPDGDD
* Mantenimiento experto en RGPD-LOPDGDD
* Adecuación a la LSSI-CE
* Mantenimiento experto en LSSI-CE",1.00,21.05,21.05,25.47,"{""en_US"": ""21% S""}"
INV/2025/00008,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00008,out_invoice,,,INV/2025/00008,0.00,0.00,0.00,0.00,
INV/2025/00009,out_invoice,,,"Cuota mensual relativos a los servicios del Canal de Denuncias:
Mantenimiento de la plataforma web para la recepción, almacenamiento
y gestión de denuncias.
Servicio externalizado de gestión, asesoramiento y
soporte de denuncias.",1.00,110.65,110.65,133.89,"{""en_US"": ""21% S""}"
INV/2025/00009,out_invoice,,,21% S,0.00,0.00,0.00,0.00,
INV/2025/00009,out_invoice,,,INV/2025/00009,0.00,0.00,0.00,0.00,
