pricelist_id/id,product_tmpl_id/id,applied_on,compute_price,fixed_price,min_quantity,date_start,date_end
__import__.pricelist_lp_acordia,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,41.90,1,2024-12-10,
__import__.pricelist_lp_airmatic,__import__.product_srv_mant_cd,3_product,fixed,105.42,1,2023-11-29,
__import__.pricelist_lp_airmatic,__import__.product_srv_mant_dpd,3_product,fixed,42.14,1,2023-11-29,
__import__.pricelist_lp_airmatic,__import__.product_srv_mant_rgpd,3_product,fixed,57.85,1,2023-11-29,
__import__.pricelist_lp_airmatic,__import__.product_srv_mant_lssi,3_product,fixed,20.03,1,2023-11-29,
__import__.pricelist_lp_autocarsvilabetriu,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,39.90,1,2009-10-31,
__import__.pricelist_lp_baulacreix,__import__.product_srv_mant_rgpd,3_product,fixed,61.17,1,2025-03-21,
__import__.pricelist_lp_baulacreix,__import__.product_srv_mant_lssi,3_product,fixed,15.38,1,2025-03-21,
__import__.pricelist_lp_berento,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,21.66,1,2015-03-02,
__import__.pricelist_lp_beroni,__import__.product_srv_mant_rgpd,3_product,fixed,32.57,1,2023-03-01,
__import__.pricelist_lp_bestours,__import__.product_srv_mant_cd,3_product,fixed,113.86,1,2023-11-28,
__import__.pricelist_lp_beyond,__import__.product_srv_mant_rgpd,3_product,fixed,32.84,1,2018-07-06,
__import__.pricelist_lp_bonviure,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,31.59,1,2024-05-09,
__import__.pricelist_lp_bru,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,38.00,1,2018-06-06,
__import__.pricelist_lp_bytren,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,26.10,1,2009-10-31,
__import__.pricelist_lp_centropatologia,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,43.45,1,2009-10-31,
__import__.pricelist_lp_comercializadora,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,42.73,1,2009-10-31,
__import__.pricelist_lp_comergrup,__import__.product_srv_mant_rgpd,3_product,fixed,45.84,1,2025-05-09,
__import__.pricelist_lp_comergrup,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,22.88,1,2025-05-09,
__import__.pricelist_lp_comergrup,__import__.product_srv_mant_pa,3_product,fixed,21.04,1,2025-05-09,
__import__.pricelist_lp_comergrup,__import__.product_srv_mant_dd,3_product,fixed,15.76,1,2025-05-09,
__import__.pricelist_lp_mjan,__import__.product_srv_mant_rgpd,3_product,fixed,16.26,1,2023-05-25,
__import__.pricelist_lp_coordinadora,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,42.44,1,2009-10-31,
__import__.pricelist_lp_d512,__import__.product_srv_mant_pa,3_product,fixed,41.11,1,2025-10-31,
__import__.pricelist_lp_d512,__import__.product_srv_mant_dd,3_product,fixed,25.67,1,2025-10-31,
__import__.pricelist_lt_dechra,__import__.product_srv_mant_lssi,3_product,fixed,12.84,1,2009-10-31,
__import__.pricelist_lp_discer,__import__.product_srv_mant_cd,3_product,fixed,63.25,1,2014-01-01,
__import__.pricelist_lp_discer,__import__.product_srv_mant_dpd,3_product,fixed,44.27,1,2014-01-01,
__import__.pricelist_lp_serrano,__import__.product_srv_mant_cd,3_product,fixed,94.35,1,2023-11-08,
__import__.pricelist_lp_dreugeni,__import__.product_srv_mant_rgpd,3_product,fixed,16.35,1,2015-07-01,
__import__.pricelist_lp_drtorres,__import__.product_srv_mant_rgpd,3_product,fixed,15.50,1,2015-07-01,
__import__.pricelist_lp_elmareixample,__import__.product_srv_mant_rgpd,3_product,fixed,62.71,1,2024-02-15,
__import__.pricelist_lp_elmareixample,__import__.product_srv_mant_lssi,3_product,fixed,15.76,1,2024-02-15,
__import__.pricelist_lp_escolaramoncajal,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,41.70,1,2009-10-31,
__import__.pricelist_lp_fabregas,__import__.product_srv_mant_rgpd,3_product,fixed,32.57,1,2018-11-07,
__import__.pricelist_lp_estel,__import__.product_srv_mant_lssi,3_product,fixed,32.57,1,2013-12-03,
__import__.pricelist_lp_ferrersaret,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,33.00,1,2018-07-06,
__import__.pricelist_lp_guidingtours,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,48.90,1,2018-06-06,
__import__.pricelist_lp_hexagon,__import__.product_srv_mant_rgpd,3_product,fixed,40.59,1,2025-06-02,
__import__.pricelist_lp_hexagon,__import__.product_srv_mant_lssi,3_product,fixed,12.86,1,2025-06-02,
__import__.pricelist_lp_ilvlawtaxfin,__import__.product_srv_mant_rgpd,3_product,fixed,92.04,1,2025-03-12,
__import__.pricelist_lp_ilvlawtaxfin,__import__.product_srv_mant_lssi,3_product,fixed,14.92,1,2025-03-12,
__import__.pricelist_lp_odontoprat,__import__.product_srv_mant_rgpd,3_product,fixed,40.10,1,2025-07-13,
__import__.pricelist_lp_odontoprat,__import__.product_srv_mant_lssi,3_product,fixed,19.70,1,2025-07-13,
__import__.pricelist_lp_assistenciamedica,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,34.36,1,2019-11-19,
__import__.pricelist_lp_malformaciones,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,51.56,1,2018-11-07,
__import__.pricelist_lp_aliagagestion,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,45.84,1,2022-05-26,
__import__.pricelist_lp_integral,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,53.53,1,2014-01-02,
__import__.pricelist_lp_inversionessinergia,__import__.product_srv_mant_rgpd,3_product,fixed,37.70,1,2025-08-08,
__import__.pricelist_lp_motomap,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,39.50,1,2024-07-08,
__import__.pricelist_lp_naturhouse,__import__.product_srv_mant_dpd,3_product,fixed,69.56,1,2024-07-18,
__import__.pricelist_lp_arrom,__import__.product_srv_mant_rgpd,3_product,fixed,97.70,1,2025-07-16,
__import__.pricelist_lp_arrom,__import__.product_srv_mant_lssi,3_product,fixed,30.82,1,2025-07-16,
__import__.pricelist_lp_madir,__import__.product_srv_mant_rgpd,3_product,fixed,46.25,1,2025-07-16,
__import__.pricelist_lp_pericomputer,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,19.48,1,2025-09-16,
__import__.pricelist_lp_polviatges,__import__.product_srv_mant_rgpd,3_product,fixed,32.57,1,2018-08-01,
__import__.pricelist_lp_polviatges,__import__.product_srv_mant_lssi,3_product,fixed,21.69,1,2018-08-01,
__import__.pricelist_lp_peregrau,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,41.89,1,2009-10-31,
__import__.pricelist_lp_prelude,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,32.57,1,2020-01-30,
__import__.pricelist_lp_promoinversora,__import__.product_srv_mant_rgpd,3_product,fixed,49.04,1,2019-03-15,
__import__.pricelist_lp_promoinversora,__import__.product_srv_mant_cd,3_product,fixed,132.83,1,2019-03-15,
__import__.pricelist_lp_promoinversora,__import__.product_srv_mant_aw,3_product,fixed,158.47,1,2019-03-15,
__import__.pricelist_lp_romaltek,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,14.95,1,2019-07-02,
__import__.pricelist_lp_ruperto,__import__.product_srv_mant_rgpd,3_product,fixed,33.22,1,2009-10-31,
__import__.pricelist_lp_safebag,__import__.product_srv_mant_rgpd,3_product,fixed,77.12,1,2025-07-24,
__import__.pricelist_lp_sanguesa,__import__.product_srv_mant_trimestral_rgpd_lssi,3_product,fixed,215.51,1,2023-04-26,
__import__.pricelist_lp_sanguesa,__import__.product_srv_mant_aw,3_product,fixed,33.96,1,2023-04-26,
__import__.pricelist_lp_sasouni,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,39.42,1,2025-06-03,
__import__.pricelist_lp_sca,__import__.product_srv_mant_rgpd,3_product,fixed,64.45,1,2009-10-31,
__import__.pricelist_lp_sca,__import__.product_srv_mant_lssi,3_product,fixed,16.05,1,2009-10-31,
__import__.pricelist_lp_sca,__import__.product_srv_mant_pa,3_product,fixed,36.86,1,2009-10-31,
__import__.pricelist_lp_serviciosintegrales,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,21.66,1,2018-09-04,
__import__.pricelist_lp_suitours,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,21.69,1,2019-03-25,
__import__.pricelist_lp_suitours,__import__.product_srv_mant_aw,3_product,fixed,61.23,1,2019-03-25,
__import__.pricelist_lp_taranna,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,36.33,1,2024-11-13,
__import__.pricelist_lp_teamitinstitute,__import__.product_srv_mant_rgpd,3_product,fixed,100.28,1,2025-04-25,
__import__.pricelist_lp_teamitinstitute,__import__.product_srv_mant_lssi,3_product,fixed,20.07,1,2025-04-25,
__import__.pricelist_lp_thr,__import__.product_srv_mant_rgpd,3_product,fixed,45.84,1,2024-05-09,
__import__.pricelist_lp_thr,__import__.product_srv_mant_lssi,3_product,fixed,13.65,1,2024-05-09,
__import__.pricelist_lp_tramedic,__import__.product_srv_mant_trimestral_rgpd_lssi,3_product,fixed,215.51,1,2023-04-26,
__import__.pricelist_lp_tramedic,__import__.product_srv_mant_aw,3_product,fixed,33.96,1,2023-04-26,
__import__.pricelist_lp_turinter,__import__.product_srv_mant_rgpd,3_product,fixed,56.50,1,2024-11-13,
__import__.pricelist_lp_turinter,__import__.product_srv_mant_lssi,3_product,fixed,14.43,1,2024-11-13,
__import__.pricelist_lp_andromeda,__import__.product_srv_mant_cd,3_product,fixed,94.87,1,2023-11-28,
__import__.pricelist_lp_andromeda,__import__.product_srv_mant_dpd,3_product,fixed,42.14,1,2023-11-28,
__import__.pricelist_lp_andromeda,__import__.product_srv_mant_rgpd,3_product,fixed,100.68,1,2023-11-28,
__import__.pricelist_lp_andromeda,__import__.product_srv_mant_lssi,3_product,fixed,15.76,1,2023-11-28,
__import__.pricelist_lp_cumlaude,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,38.00,1,2018-07-06,
__import__.pricelist_lp_gammatours,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,32.57,1,2018-10-24,
__import__.pricelist_lp_pacifico,__import__.product_srv_mant_cd,3_product,fixed,125.94,1,2023-11-30,
__import__.pricelist_lp_tejedor,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,57.31,1,2018-06-06,
__import__.pricelist_lp_ter,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,42.90,1,2018-08-01,
__import__.pricelist_lp_traveltec,__import__.product_srv_mant_lssi,3_product,fixed,15.76,1,2024-08-07,
__import__.pricelist_lp_viatjalia,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,43.60,1,2014-12-11,
__import__.pricelist_lp_vsdental,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,40.09,1,2020-01-30,
__import__.pricelist_lp_wbt,__import__.product_srv_mant_rgpd,3_product,fixed,42.90,1,2023-04-24,
__import__.pricelist_lp_wbt,__import__.product_srv_mant_lssi,3_product,fixed,16.26,1,2023-04-24,
__import__.pricelist_lp_d512,__import__.product_srv_mant_rgpd,3_product,fixed,59.95,1,2025-10-31,
__import__.pricelist_lp_d512,__import__.product_srv_mant_rgpd_lssi,3_product,fixed,19.99,1,2025-10-31,
__import__.pricelist_lp_sca,__import__.product_srv_mant_dd,3_product,fixed,29.95,1,2009-10-31,
__import__.pricelist_lp_sca,__import__.product_srv_mant_ar,3_product,fixed,29.95,1,2009-10-31,
